@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Remove-R2-5,16-45-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-Lfirst-last-M_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute coorte {2010,2011,2012,2013}
@attribute ASD numeric
@attribute data_ASD {2011-06-15,2011-07-06,2012-01-18,2011-07-22,2011-09-21,2011-07-26,2013-02-19,2014-02-17,2012-09-18,2012-07-11,2012-09-21,2012-07-31,2012-06-19,2012-06-22,2013-07-11,2013-06-20,2013-09-19,2015-09-17,2013-06-21,2014-01-20,2013-07-26,2014-06-11,2014-06-12,2014-07-17,2014-09-12,2014-06-13,2014-07-09,2015-06-12,2015-01-16}
@attribute ARC numeric
@attribute data_ARC {2014-01-28,2012-09-20,2011-08-30,2012-09-24,2013-07-24,2012-07-30,2012-07-17,2012-02-19,2011-09-13,2013-06-12,2013-07-08,2012-06-18,2013-02-18,2013-01-18,2014-02-28,2014-07-24,2012-07-10,2016-02-12,2015-09-14,2013-09-19,2015-06-16,2015-07-14,2014-09-15,2016-01-28,2014-07-10,2014-06-12,2015-02-13,2015-01-29,2016-09-19,2017-02-24,2017-01-26,2016-07-18}
@attribute PRG numeric
@attribute data_PRG {2012-02-23,2011-09-23,2011-06-20,2011-07-11,2011-07-22,2013-09-23,2013-01-16,2012-07-25,2012-09-20,0000-00-00,2012-06-21,2012-07-10,2013-07-31,2014-02-04,2013-07-18,2013-06-20,2015-09-03,2013-09-13,2014-07-08,2014-02-25,2014-06-17,2014-09-03,2014-09-02,2016-02-22,2015-01-08,2014-07-29,2015-02-23,2015-09-24,2014-07-28,2016-02-29,2015-07-28,2014-09-04}
@attribute ANI numeric
@attribute data_ANI {2013-07-18,2011-07-26,2012-02-22,2012-03-16,2011-09-09,2012-06-22,2011-06-10,2013-01-22,2012-01-17,2012-07-31,2012-01-20,2013-09-19,2013-01-23,2012-09-17,2014-02-28,2012-02-24,2014-02-27,2013-07-01,2013-07-16,2012-07-27,2014-06-30,2013-02-07,2012-09-21,2015-01-14,2014-08-01,2014-07-14,2012-07-06,2013-03-11,2013-07-30,2014-07-28,2014-07-23,2013-03-08,2013-06-27,2014-09-05,2013-02-21,2014-10-07,2014-07-22,2014-07-31,2014-09-16,2014-01-24,2015-06-30,2015-07-14,2014-09-12,2015-09-22,2015-07-24,2015-06-26,2015-07-07,2014-06-10,2017-01-23,2016-06-21,2014-09-09,2016-09-12,2015-08-03,2016-07-01,2016-06-20,2017-02-27,2016-01-27,2016-07-13,2015-01-13}
@attribute MDL numeric
@attribute data_MDL {2012-09-13,2012-07-12,2011-07-07,2011-07-27,2013-09-11,2013-07-03,2012-02-27,2011-07-25,2011-07-05,2011-09-19,2011-07-26,2013-09-10,2014-01-13,2013-02-06,2013-07-04,2013-07-30,2012-06-14,2014-06-11,2013-09-12,2015-02-06,2014-09-11,2014-01-14,2012-08-01,2013-07-31,2015-07-09,2014-02-05,2013-06-12,2014-09-10,2015-01-21,2015-09-09,2015-02-05,2014-02-04,2015-01-22,2016-01-27,2014-07-02,2014-07-30,2016-08-02,2016-07-11,2016-02-08,2017-01-26,2015-10-05,2014-07-29,2014-07-03,2014-09-09,2014-06-13,2015-07-01,2014-07-01,2016-06-15,2016-07-04,2015-10-08,2016-09-28,2015-09-15,2015-10-07,2016-06-13,2016-09-27}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
2010,22,2011-06-15,24,2014-01-28,21,2012-02-23,19,2013-07-18,24,2012-09-13,cluster0
2010,28,2011-07-06,26,2012-09-20,25,2011-09-23,29,2011-07-26,22,2012-07-12,cluster2
2010,31,2011-06-15,30,2011-08-30,28,2011-06-20,28,2012-02-22,30,2011-07-07,cluster0
2010,26,2011-06-15,24,2012-09-24,23,2011-06-20,30,2012-03-16,30,2011-07-27,cluster0
2010,26,2011-06-15,30,2013-07-24,26,2011-07-11,23,2011-09-09,24,2013-09-11,cluster3
2010,24,2011-06-15,25,2012-07-30,24,2011-07-11,24,2012-06-22,27,2013-07-03,cluster0
2010,30,2012-01-18,24,2012-07-17,31,2011-07-22,30,2011-06-10,20,2012-02-27,cluster2
2010,27,2011-07-22,24,2012-02-19,24,2011-07-11,28,2013-01-22,20,2013-07-03,cluster0
2010,30,2011-07-06,29,2011-09-13,26,2011-06-20,31,2012-01-17,27,2011-07-25,cluster0
2010,28,2011-06-15,28,2011-08-30,27,2011-07-11,28,2012-07-31,23,2011-07-05,cluster0
2010,30,2011-06-15,27,2011-08-30,28,2011-06-20,23,2013-01-22,20,2011-07-07,cluster0
2010,30,2011-06-15,28,2011-09-13,30,2011-06-20,30,2012-09-17,28,2011-07-05,cluster0
2010,30,2011-07-06,25,2012-02-19,26,2011-09-23,30,2011-06-10,23,2011-07-26,cluster2
2010,28,2011-06-15,31,2012-02-19,31,2011-07-22,30,2014-02-28,27,2011-09-19,cluster0
2011,23,2013-02-19,30,2013-07-08,24,2013-01-16,26,2013-07-16,28,2014-01-13,cluster1
2011,28,2012-07-11,25,2013-07-08,28,2012-09-20,28,2014-06-30,22,2012-09-13,cluster1
2011,25,2012-09-21,20,2012-06-18,22,2012-09-20,26,2012-09-21,22,2012-07-12,cluster1
2011,28,2012-07-31,25,2012-07-17,30,2012-06-21,30,2015-01-14,25,2013-02-06,cluster2
2011,23,2012-07-11,21,2013-02-18,22,2012-07-25,20,2014-08-01,20,2013-07-04,cluster1
2011,30,2012-06-22,25,2013-01-18,28,2012-07-10,30,2013-07-16,21,2013-07-30,cluster2
2011,27,2012-07-11,23,2012-07-30,24,2012-07-10,28,2013-03-11,20,2012-06-14,cluster1
2011,30,2012-07-11,28,2013-07-24,26,2012-06-21,30,2013-07-01,28,2013-07-04,cluster1
2011,25,2012-09-18,20,2014-01-28,18,2013-01-16,25,2013-01-23,18,2014-06-11,cluster1
2011,22,2012-07-11,27,2014-02-28,25,2012-07-10,30,2013-07-01,18,2013-09-12,cluster1
2011,26,2012-06-19,21,2014-02-28,19,2012-09-20,20,2015-01-14,18,2015-02-06,cluster3
2011,24,2013-07-11,20,2012-09-24,23,2014-02-04,27,2013-07-30,18,2014-09-11,cluster3
2011,25,2012-07-11,25,2013-02-18,24,2013-07-18,26,2014-07-28,20,2014-01-13,cluster1
2011,25,2013-06-20,24,2012-06-18,24,2013-06-20,23,2014-07-23,20,2014-01-14,cluster3
2011,28,2012-07-11,27,2012-07-17,25,2012-07-10,30,2013-03-08,26,2012-06-14,cluster1
2011,27,2012-06-19,22,2013-07-08,26,2013-07-18,26,2013-07-01,19,2014-01-14,cluster1
2011,27,2012-07-11,20,2012-06-18,24,2013-06-20,27,2014-06-30,19,2014-01-14,cluster1
2011,31,2012-06-19,25,2012-07-30,25,2012-06-21,30,2013-07-01,24,2013-02-06,cluster2
2011,27,2012-07-11,23,2014-07-24,22,2012-07-10,27,2014-09-05,18,2015-02-06,cluster1
2012,30,2013-06-20,30,2014-02-28,29,2013-07-18,28,2014-07-14,20,2013-09-11,cluster3
2012,25,2015-09-17,27,2014-02-28,24,2015-09-03,28,2014-10-07,20,2013-07-31,cluster3
2012,30,2013-06-21,27,2013-07-24,31,2013-06-20,27,2014-07-14,20,2015-07-09,cluster2
2012,31,2013-06-20,24,2013-06-12,30,2013-06-20,31,2014-07-22,28,2013-07-30,cluster0
2012,30,2013-07-11,27,2013-06-12,31,2013-06-20,24,2014-07-31,28,2013-07-03,cluster0
2012,30,2013-09-19,30,2015-09-14,27,2014-02-04,28,2014-07-23,23,2014-02-05,cluster3
2012,31,2013-06-21,25,2013-07-08,27,2013-07-18,28,2014-09-16,24,2013-06-12,cluster1
2012,26,2014-01-20,28,2014-02-28,28,2014-02-04,28,2014-09-16,28,2014-09-10,cluster3
2012,30,2013-06-20,25,2013-09-19,30,2013-06-20,29,2014-01-24,20,2013-09-12,cluster2
2012,30,2013-07-26,29,2015-06-16,20,2014-02-04,22,2014-07-23,26,2015-01-21,cluster3
2012,28,2013-07-26,19,2015-07-14,26,2013-07-31,21,2014-07-23,20,2015-09-09,cluster3
2012,27,2013-07-11,27,2014-07-24,18,2013-07-18,25,2014-09-05,19,2015-01-21,cluster3
2012,25,2014-06-11,19,2014-09-15,25,2014-07-08,27,2015-06-30,20,2015-02-05,cluster2
2012,31,2013-07-11,29,2013-06-12,31,2013-07-18,28,2014-07-23,28,2014-01-14,cluster3
2012,26,2013-07-11,18,2014-01-28,30,2013-07-31,29,2014-09-16,26,2013-09-11,cluster3
2012,31,2013-07-26,28,2013-06-12,31,2013-07-31,31,2014-09-12,30,2013-07-03,cluster0
