@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Remove-R16,44-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute coorte {2010,2011,2012,2013}
@attribute test numeric
@attribute crediti_totali numeric
@attribute crediti_con_voto numeric
@attribute voto_medio numeric
@attribute ASD numeric
@attribute data_ASD {2011-06-15,2011-07-06,2012-01-18,2011-07-22,2011-09-21,2011-07-26,2013-02-19,2014-02-17,2012-09-18,2012-07-11,2012-09-21,2012-07-31,2012-06-19,2012-06-22,2013-07-11,2013-06-20,2013-09-19,2015-09-17,2013-06-21,2014-01-20,2013-07-26,2014-06-11,2014-06-12,2014-07-17,2014-09-12,2014-06-13,2014-07-09,2015-06-12,2015-01-16}
@attribute ARC numeric
@attribute data_ARC {2014-01-28,2012-09-20,2011-08-30,2012-09-24,2013-07-24,2012-07-30,2012-07-17,2012-02-19,2011-09-13,2013-06-12,2013-07-08,2012-06-18,2013-02-18,2013-01-18,2014-02-28,2014-07-24,2012-07-10,2016-02-12,2015-09-14,2013-09-19,2015-06-16,2015-07-14,2014-09-15,2016-01-28,2014-07-10,2014-06-12,2015-02-13,2015-01-29,2016-09-19,2017-02-24,2017-01-26,2016-07-18}
@attribute PRG numeric
@attribute data_PRG {2012-02-23,2011-09-23,2011-06-20,2011-07-11,2011-07-22,2013-09-23,2013-01-16,2012-07-25,2012-09-20,0000-00-00,2012-06-21,2012-07-10,2013-07-31,2014-02-04,2013-07-18,2013-06-20,2015-09-03,2013-09-13,2014-07-08,2014-02-25,2014-06-17,2014-09-03,2014-09-02,2016-02-22,2015-01-08,2014-07-29,2015-02-23,2015-09-24,2014-07-28,2016-02-29,2015-07-28,2014-09-04}
@attribute ANI numeric
@attribute data_ANI {2013-07-18,2011-07-26,2012-02-22,2012-03-16,2011-09-09,2012-06-22,2011-06-10,2013-01-22,2012-01-17,2012-07-31,2012-01-20,2013-09-19,2013-01-23,2012-09-17,2014-02-28,2012-02-24,2014-02-27,2013-07-01,2013-07-16,2012-07-27,2014-06-30,2013-02-07,2012-09-21,2015-01-14,2014-08-01,2014-07-14,2012-07-06,2013-03-11,2013-07-30,2014-07-28,2014-07-23,2013-03-08,2013-06-27,2014-09-05,2013-02-21,2014-10-07,2014-07-22,2014-07-31,2014-09-16,2014-01-24,2015-06-30,2015-07-14,2014-09-12,2015-09-22,2015-07-24,2015-06-26,2015-07-07,2014-06-10,2017-01-23,2016-06-21,2014-09-09,2016-09-12,2015-08-03,2016-07-01,2016-06-20,2017-02-27,2016-01-27,2016-07-13,2015-01-13}
@attribute MDL numeric
@attribute data_MDL {2012-09-13,2012-07-12,2011-07-07,2011-07-27,2013-09-11,2013-07-03,2012-02-27,2011-07-25,2011-07-05,2011-09-19,2011-07-26,2013-09-10,2014-01-13,2013-02-06,2013-07-04,2013-07-30,2012-06-14,2014-06-11,2013-09-12,2015-02-06,2014-09-11,2014-01-14,2012-08-01,2013-07-31,2015-07-09,2014-02-05,2013-06-12,2014-09-10,2015-01-21,2015-09-09,2015-02-05,2014-02-04,2015-01-22,2016-01-27,2014-07-02,2014-07-30,2016-08-02,2016-07-11,2016-02-08,2017-01-26,2015-10-05,2014-07-29,2014-07-03,2014-09-09,2014-06-13,2015-07-01,2014-07-01,2016-06-15,2016-07-04,2015-10-08,2016-09-28,2015-09-15,2015-10-07,2016-06-13,2016-09-27}
@attribute data_INGLESE {2013-09-26,2011-06-21,2011-10-18,2011-10-04,2011-06-09,2011-10-25,2012-10-11,2011-02-22,2011-09-27,2011-09-22,2011-05-17,0000-00-00,2011-06-23,2011-11-29,2013-10-28,2013-11-11,2012-03-20,2014-03-05,2011-05-10,2013-10-22,2012-11-13,2013-02-05,2014-12-16,2012-01-19,2013-03-04,2012-01-25,2012-10-02,2012-11-22,2013-06-05,2014-03-06,2012-05-16,2013-03-26,2012-11-06,2012-03-27,2012-10-30,2013-06-18,2013-04-16,2016-04-28,2013-05-07,2015-04-14,2013-05-21,2013-04-09,2013-12-10,2015-02-25,2013-02-13,2013-05-23,2015-11-05,2013-05-28,2014-11-04,2013-03-05,2014-10-23,2015-10-22,2013-06-10,2013-04-23,2013-05-09,2016-03-08,2013-03-06,2013-12-02,2013-05-14,2014-09-16,2014-02-27,2014-10-29,2014-05-27,2013-10-29,2013-06-25,2013-05-06,2015-02-10,2014-04-17,2014-02-25,2015-06-22,2015-05-13,2014-09-10,2014-04-08,2015-01-27,2014-06-30,2014-04-15,2014-02-14,2014-03-14,2014-03-25,2014-03-13,2014-05-26,2015-02-23,2014-05-06,2014-03-18,2015-04-20,2015-02-26,2016-06-01,2014-05-22,2016-12-19,2014-06-11,2014-06-20,2017-01-31,2015-03-03,2014-10-07,2015-01-20,2014-04-01,2014-06-26,2016-03-17,2014-05-20,2014-02-04,2016-05-31,2014-09-17,2014-05-23,2014-11-20,2015-03-27,2015-10-06,2014-09-23,2014-02-18,2014-04-28}
@attribute ALG numeric
@attribute data_ALG {2012-01-17,2012-01-13,2012-09-20,2014-02-13,2012-07-06,2012-01-19,2012-02-22,2013-02-05,2012-02-24,2013-03-04,2013-02-25,2015-01-16,2014-10-28,2014-01-16,2014-09-23,2013-10-03,2013-09-05,2013-02-15,2015-02-16,2013-06-13,2014-09-25,2013-07-12,2014-05-05,2015-01-20,2014-03-27,2013-09-19,2014-10-07,2014-01-21,2014-05-20,2015-06-15,2015-02-17,2014-02-20,2014-05-22,2016-02-08,2014-07-14,2016-01-11,2014-02-11,2015-07-07,2016-07-13,2015-07-06,2015-09-07,2016-09-02,2017-01-19,2017-01-16}
@attribute ANII numeric
@attribute data_ANII {2012-02-22,2012-03-16,2012-06-22,2013-01-22,2012-01-17,2012-07-31,2013-01-23,2012-09-17,2014-02-28,2013-07-01,2013-07-16,2014-06-30,2015-01-14,2014-08-01,2014-07-14,2013-03-11,2013-07-30,2014-07-28,2013-03-08,2014-09-05,2014-07-23,2014-10-07,2014-07-22,2014-07-31,2014-09-16,2015-06-30,2015-07-14,2014-09-12,2015-09-22,2015-06-26,2015-07-07,2017-01-23,2016-06-21,2016-09-12,2015-08-03,2016-07-01,2016-06-20,2016-01-27}
@attribute MP numeric
@attribute data_MP {2013-02-14,2012-09-07,2012-07-24,2012-06-15,2013-01-11,2014-01-22,2012-07-09,2012-01-23,2012-02-10,2013-07-24,2014-07-02,2014-06-05,2015-01-20,2013-06-26,2013-09-11,2014-09-12,2014-02-19,2014-02-05,2015-02-16,2015-07-13,2014-07-16,2014-02-26,2016-01-21,2015-09-30,2015-06-08,2015-07-27,2015-09-01,2017-02-20,2016-02-18,2015-07-23,2016-06-08,2015-07-30,2015-07-22}
@attribute PC numeric
@attribute data_PC {2013-01-15,2012-01-31,2012-03-06,2013-01-16,2014-01-27,2014-02-24,2013-07-19,2012-01-27,2014-02-04,2012-09-22,2013-02-26,2013-02-19,2013-07-31,2013-10-01,2013-06-20,2013-02-28,2015-03-04,2014-09-10,2014-09-09,2014-10-21,2014-06-18,2015-02-05,2015-03-02,2014-07-15,2014-02-25,2014-03-12,2014-07-24,2015-06-29,2015-09-22,2016-02-04,2016-06-21,2017-02-02,2016-07-25,2015-07-27,2017-01-30,2015-10-06,2015-02-17,2017-02-20,2016-02-29,2017-02-22,2015-03-03,2016-02-09}
@attribute BDSI numeric
@attribute data_BDSI {2012-09-25,2013-02-26,2012-06-26,2013-09-20,2013-07-05,2013-06-26,2013-07-08,2012-07-16,2013-07-26,2013-09-19,2014-01-21,2014-01-30,2013-06-28,2014-09-26,2013-07-11,2014-06-25,2015-02-18,2014-07-11,2014-02-18,2014-07-24,2014-07-25,2015-02-13,2014-09-21,2015-06-16,2014-06-16,2014-09-11,2015-09-17,2014-09-17,2015-07-24,2015-06-26,2014-07-07,2015-06-25,2015-01-27,2015-09-10,2017-01-27,2015-07-22,2015-07-30,2016-01-22,2016-02-08,2016-02-09,2016-07-19,2015-06-18,2015-05-28,2015-07-16,2016-06-13,2016-09-16,2016-07-05}
@attribute CPS numeric
@attribute data_CPS {2013-09-12,2013-07-29,2013-06-10,2013-07-01,2012-09-13,2014-01-08,2014-07-14,2014-06-26,2014-02-05,2014-09-16,2014-06-04,2015-02-03,2015-07-27,2015-09-11,2017-01-13,2017-02-03,2016-06-10,2015-01-07,2016-01-08,2016-02-10,2016-09-07,2015-07-01,2016-07-08}
@attribute FIS numeric
@attribute data_FIS {2012-07-05,2013-02-26,2012-02-07,0000-00-00,2014-09-18,2013-09-16,2014-12-23,2015-02-19,2013-07-29,2014-07-03,2015-01-30,2015-09-21,2014-07-23,2016-02-22,2014-07-24,2016-01-29,2015-06-12,2016-07-22,2017-02-06,2017-03-29,2016-09-20,2016-06-23,2017-03-28,2017-03-23,2017-02-02,2017-03-22}
@attribute SO numeric
@attribute data_SO {2013-09-25,2012-09-25,2013-09-11,2013-01-07,2013-06-12,2012-10-05,2014-02-03,2013-02-27,2015-02-25,2014-01-30,2013-09-06,2014-07-17,2015-02-11,2015-01-26,2014-01-21,2013-09-12,2016-02-23,2016-01-29,2014-09-24,2014-09-17,2015-09-16,2016-02-25,2015-07-20,2014-06-20,2016-02-17,2015-06-30,2017-01-17,2016-09-23,2017-02-09,2015-05-26,2016-09-20,2016-07-19}
@attribute CAL numeric
@attribute data_CAL {2014-01-07,2013-06-10,2013-09-09,2013-07-22,2014-06-10,2014-06-04,2014-06-25,2015-03-18,2015-07-08,2015-06-09,2015-07-07,2015-06-08,2015-06-22,2015-09-07,0000-00-00,2016-06-06,2016-09-06,2016-09-09,2016-06-10,2016-06-29,2016-07-04,2016-09-26,2016-09-07}
@attribute IT numeric
@attribute data_IT {2014-01-20,2013-01-14,2014-02-25,2014-02-24,2013-02-13,2013-09-23,2014-02-06,2015-02-24,2014-07-30,2014-09-03,2016-02-24,2015-07-27,2015-09-11,2015-06-23,2016-01-19,2016-06-23,2016-09-07,2016-07-27,2017-01-19,2017-02-20,2015-11-20}
@attribute CS numeric
@attribute data_CS {2013-10-01,2013-09-18,2013-07-29,2013-06-13,2013-07-31,2013-06-18,2013-07-19,2014-06-18,2014-07-24,2015-03-02,2015-02-05,2014-09-09,2017-01-27,2016-06-29}
@attribute IUM numeric
@attribute data_IUM {2015-02-18,2015-06-22,2016-01-28,2016-02-25,2015-01-20,2015-01-14,2015-09-16,2015-02-26,2015-02-11,2016-02-09,2016-01-26,2016-01-13,2015-07-22,2015-01-22,2015-02-20,2017-02-24,2016-09-20,2016-07-11,2017-03-03,2017-01-27,2016-06-21,2017-02-03,2016-02-12}
@attribute RETI numeric
@attribute data_RETI {2014-02-10,2013-01-30,2014-02-27,2014-01-20,2013-06-18,2013-03-04,0000-00-00,2015-01-22,2014-03-06,2014-02-13,2014-07-17,2015-01-13,2015-02-16,2015-02-09,2016-02-15,2015-01-27,2016-02-04,2016-01-18,2015-09-18,2015-06-19,2016-02-29,2016-06-27,2017-03-01,2017-02-27,2016-01-26,2017-02-21,2017-01-24,2016-07-06,2017-02-28}
@attribute data_CAz {2013-06-11,2013-02-07,2014-01-10,2013-07-09,2014-02-07,2013-09-17,2013-08-01,0000-00-00,2015-01-20,2014-09-05,2014-06-30,2014-07-28,2015-02-17,2015-09-04,2016-02-16,2016-01-19,2015-07-10,2015-06-16,2017-01-16,2017-02-10,2016-06-13,2016-07-07,2016-09-12}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
2010,42.857143,98.333333,100,46.153846,30.769231,2011-06-15,46.153846,2014-01-28,23.076923,2012-02-23,7.692308,2013-07-18,46.153846,2012-09-13,2013-09-26,61.538462,2012-01-17,?,?,36.363636,2013-02-14,53.846154,2013-01-15,46.153846,2012-09-25,30.769231,2013-09-12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2013-06-11,cluster0
2010,85.714286,98.333333,100,69.230769,76.923077,2011-07-06,61.538462,2012-09-20,53.846154,2011-09-23,84.615385,2011-07-26,30.769231,2012-07-12,2011-06-21,53.846154,2012-01-13,?,?,?,?,92.307692,2013-01-15,61.538462,2013-02-26,100,2013-07-29,?,?,54.545455,2013-09-25,?,?,100,2014-01-20,66.666667,2013-10-01,?,?,100,2014-02-10,2013-02-07,cluster0
2010,57.142857,98.333333,100,84.615385,100,2011-06-15,92.307692,2011-08-30,76.923077,2011-06-20,76.923077,2012-02-22,92.307692,2011-07-07,2011-10-18,100,2012-01-13,76.923077,2012-02-22,100,2012-09-07,100,2012-01-31,100,2012-06-26,100,2013-06-10,100,2012-07-05,90.909091,2012-09-25,61.538462,2014-01-07,100,2013-01-14,58.333333,2013-09-18,?,?,100,2013-01-30,2013-02-07,cluster0
2010,71.428571,98.333333,100,61.538462,61.538462,2011-06-15,46.153846,2012-09-24,38.461538,2011-06-20,92.307692,2012-03-16,92.307692,2011-07-27,2011-10-04,100,2012-01-13,0,2012-03-16,45.454545,2012-07-24,30.769231,2012-03-06,69.230769,2012-06-26,84.615385,2013-07-01,?,?,?,?,?,?,92.307692,2014-02-25,66.666667,2013-07-29,?,?,?,?,2013-02-07,cluster0
2010,66.666667,98.333333,100,61.538462,61.538462,2011-06-15,92.307692,2013-07-24,61.538462,2011-07-11,38.461538,2011-09-09,46.153846,2013-09-11,2011-06-09,?,?,?,?,54.545455,2012-06-15,69.230769,2013-01-16,92.307692,2013-09-20,?,?,?,?,72.727273,2013-09-25,?,?,100,2014-01-20,?,?,?,?,90.909091,2014-02-27,2014-01-10,cluster0
2010,52.380952,85,93.877551,46.153846,46.153846,2011-06-15,53.846154,2012-07-30,46.153846,2011-07-11,46.153846,2012-06-22,69.230769,2013-07-03,2011-10-25,0,2012-09-20,0,2012-06-22,81.818182,2013-01-11,15.384615,2014-01-27,53.846154,2013-07-05,46.153846,2013-09-12,?,?,45.454545,2012-09-25,?,?,?,?,?,?,?,?,?,?,2013-06-11,cluster1
2010,66.666667,85,93.877551,69.230769,92.307692,2012-01-18,46.153846,2012-07-17,100,2011-07-22,92.307692,2011-06-10,15.384615,2012-02-27,2012-10-11,61.538462,2014-02-13,?,?,9.090909,2014-01-22,30.769231,2014-02-24,84.615385,2013-06-26,?,?,92.307692,2013-02-26,54.545455,2013-09-11,?,?,?,?,?,?,?,?,?,?,?,cluster2
2010,33.333333,40,37.414966,46.153846,0,2011-07-22,?,?,?,?,?,?,?,?,2011-06-21,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,33.333333,11.666667,8.163265,15.384615,23.076923,2011-07-06,?,?,?,?,7.692308,2011-09-09,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,42.857143,98.333333,100,46.153846,69.230769,2011-07-22,46.153846,2012-02-19,46.153846,2011-07-11,76.923077,2013-01-22,15.384615,2013-07-03,2011-02-22,23.076923,2012-07-06,0,2013-01-22,27.272727,2012-07-09,7.692308,2013-07-19,53.846154,2013-07-08,0,2013-07-29,?,?,54.545455,2013-01-07,?,?,30.769231,2014-02-24,?,?,?,?,72.727273,2014-01-20,2013-07-09,cluster3
2010,71.428571,98.333333,100,84.615385,92.307692,2011-07-06,84.615385,2011-09-13,61.538462,2011-06-20,100,2012-01-17,69.230769,2011-07-25,2011-09-27,100,2012-01-13,0,2012-01-17,72.727273,2012-06-15,92.307692,2012-01-27,100,2012-06-26,69.230769,2012-09-13,92.307692,2012-02-07,72.727273,2013-06-12,92.307692,2013-06-10,100,2013-02-13,100,2013-06-13,?,?,90.909091,2013-06-18,2013-02-07,cluster0
2010,61.904762,98.333333,100,61.538462,76.923077,2011-06-15,76.923077,2011-08-30,69.230769,2011-07-11,76.923077,2012-07-31,38.461538,2011-07-05,2011-09-22,46.153846,2012-01-17,76.923077,2012-07-31,27.272727,2012-09-07,92.307692,2012-03-06,84.615385,2012-07-16,92.307692,2013-07-01,?,?,63.636364,2012-10-05,?,?,100,2014-01-20,8.333333,2013-07-31,?,?,54.545455,2013-03-04,2013-06-11,cluster0
2010,47.619048,33.333333,30.612245,23.076923,30.769231,2011-07-22,?,?,69.230769,2013-09-23,0,2012-01-20,?,?,2011-05-17,30.769231,2012-01-13,?,?,?,?,7.692308,2014-02-04,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2013-02-07,cluster2
2010,76.190476,80,81.632653,53.846154,76.923077,2011-07-06,?,?,38.461538,2012-02-23,38.461538,2013-09-19,23.076923,2011-09-19,0000-00-00,?,?,?,?,90.909091,2012-06-15,?,?,30.769231,2012-06-26,?,?,?,0000-00-00,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster0
2010,47.619048,98.333333,100,61.538462,92.307692,2011-06-15,69.230769,2011-08-30,76.923077,2011-06-20,38.461538,2013-01-22,15.384615,2011-07-07,2011-06-23,92.307692,2012-01-19,0,2013-01-22,72.727273,2012-06-15,69.230769,2012-03-06,76.923077,2012-06-26,92.307692,2013-06-10,?,?,45.454545,2012-09-25,?,?,53.846154,2013-02-13,41.666667,2013-06-18,?,?,63.636364,2013-01-30,2013-02-07,cluster0
2010,61.904762,21.666667,16.326531,53.846154,53.846154,2011-06-15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,61.904762,73.333333,79.591837,38.461538,53.846154,2012-01-18,?,?,61.538462,2013-01-16,46.153846,2013-01-23,15.384615,2011-07-26,?,0,2012-02-22,0,2013-01-23,?,?,23.076923,2014-02-04,46.153846,2013-07-26,61.538462,2013-06-10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2013-07-09,cluster3
2010,80.952381,98.333333,100,76.923077,92.307692,2011-06-15,76.923077,2011-09-13,92.307692,2011-06-20,92.307692,2012-09-17,76.923077,2011-07-05,2011-11-29,92.307692,2012-01-13,76.923077,2012-09-17,90.909091,2012-09-07,46.153846,2012-03-06,92.307692,2012-07-16,23.076923,2012-09-13,?,?,63.636364,2012-10-05,?,?,92.307692,2013-09-23,33.333333,2013-06-18,?,?,54.545455,2013-03-04,2014-02-07,cluster0
2010,61.904762,98.333333,100,61.538462,92.307692,2011-07-06,53.846154,2012-02-19,61.538462,2011-09-23,92.307692,2011-06-10,38.461538,2011-07-26,2013-10-28,61.538462,2012-01-13,?,?,72.727273,2012-01-23,69.230769,2012-09-22,69.230769,2012-06-26,84.615385,2013-06-10,?,?,72.727273,2012-09-25,69.230769,2013-09-09,38.461538,2014-02-06,41.666667,2013-07-19,?,?,72.727273,2013-01-30,2013-09-17,cluster0
2010,23.809524,10,4.081633,30.769231,30.769231,2011-09-21,?,?,?,?,?,?,?,?,0000-00-00,23.076923,2012-02-22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster3
2010,66.666667,98.333333,100,76.923077,76.923077,2011-06-15,100,2012-02-19,100,2011-07-22,92.307692,2014-02-28,69.230769,2011-09-19,2013-11-11,100,2012-09-20,69.230769,2014-02-28,100,2013-01-11,76.923077,2012-03-06,100,2013-09-19,100,2013-07-01,?,?,63.636364,2012-09-25,23.076923,2013-07-22,92.307692,2014-01-20,33.333333,2013-07-31,?,?,72.727273,2013-01-30,2014-02-07,cluster0
2010,57.142857,36.666667,36.734694,38.461538,38.461538,2011-07-06,61.538462,2013-06-12,61.538462,2011-06-20,46.153846,2012-02-24,?,?,2012-03-20,?,?,?,?,?,?,7.692308,2013-02-26,?,?,?,?,?,?,9.090909,2014-02-03,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,28.571429,95,100,46.153846,53.846154,2011-07-06,30.769231,2012-09-20,53.846154,2011-09-23,46.153846,2014-02-27,?,?,?,7.692308,2013-02-05,?,?,36.363636,2012-02-10,92.307692,2013-07-19,?,?,?,?,?,?,36.363636,2013-02-27,?,?,?,?,?,?,?,?,?,?,2013-08-01,cluster3
2010,76.190476,11.666667,8.163265,69.230769,69.230769,2011-06-15,?,?,69.230769,2011-06-20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,52.380952,0,?,?,?,?,?,?,?,?,?,?,?,?,2011-02-22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,38.095238,41.666667,44.897959,15.384615,0,2011-07-26,?,?,0,2012-07-25,53.846154,2013-07-01,?,?,?,?,?,0,2013-07-01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster3
2010,52.380952,15,12.244898,46.153846,61.538462,2011-07-26,?,?,53.846154,2012-02-23,?,?,?,?,?,30.769231,2012-02-24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2010,28.571429,33.333333,32.653061,15.384615,46.153846,2011-09-21,?,?,?,?,15.384615,2013-09-19,0,2013-09-10,2014-03-05,0,2012-09-20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster2
2010,47.619048,21.666667,16.326531,46.153846,53.846154,2011-07-06,?,?,53.846154,2012-09-20,?,?,?,?,2011-05-10,23.076923,2012-02-22,?,?,36.363636,2013-07-24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2013-07-09,cluster1
2010,66.666667,18.333333,0,92.307692,?,?,?,?,?,0000-00-00,92.307692,2011-07-26,?,?,0000-00-00,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0000-00-00,0000-00-00,cluster3
2011,66.666667,98.333333,100,53.846154,38.461538,2013-02-19,92.307692,2013-07-08,46.153846,2013-01-16,61.538462,2013-07-16,76.923077,2014-01-13,2013-10-22,7.692308,2013-03-04,0,2013-07-16,45.454545,2014-07-02,53.846154,2014-02-04,84.615385,2014-01-21,76.923077,2013-06-10,?,?,45.454545,2014-02-03,76.923077,2014-06-10,23.076923,2015-02-24,41.666667,2014-06-18,?,?,90.909091,2015-01-22,2015-01-20,cluster3
2011,47.619048,5,0,69.230769,?,?,?,?,?,?,69.230769,2012-07-27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,cluster1
2011,61.904762,98.333333,100,30.769231,46.153846,2014-02-17,?,?,30.769231,2012-07-25,46.153846,2013-07-16,61.538462,2014-01-13,2012-11-13,15.384615,2013-02-25,0,2013-07-16,45.454545,2014-06-05,53.846154,2014-02-04,23.076923,2014-01-30,7.692308,2013-07-01,?,?,27.272727,2015-02-25,?,?,?,?,0,2014-07-24,?,?,?,?,?,cluster3
