@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R38-39'

@attribute coorte {2010,2011,2012,2013}
@attribute ASD numeric
@attribute data_ASD {2011-06-15,2011-07-06,2012-01-18,2011-07-22,2011-09-21,2011-07-26,2013-02-19,2014-02-17,2012-09-18,2012-07-11,2012-09-21,2012-07-31,2012-06-19,2012-06-22,2013-07-11,2013-06-20,2013-09-19,2015-09-17,2013-06-21,2014-01-20,2013-07-26,2014-06-11,2014-06-12,2014-07-17,2014-09-12,2014-06-13,2014-07-09,2015-06-12,2015-01-16}
@attribute ARC numeric
@attribute data_ARC {2014-01-28,2012-09-20,2011-08-30,2012-09-24,2013-07-24,2012-07-30,2012-07-17,2012-02-19,2011-09-13,2013-06-12,2013-07-08,2012-06-18,2013-02-18,2013-01-18,2014-02-28,2014-07-24,2012-07-10,2016-02-12,2015-09-14,2013-09-19,2015-06-16,2015-07-14,2014-09-15,2016-01-28,2014-07-10,2014-06-12,2015-02-13,2015-01-29,2016-09-19,2017-02-24,2017-01-26,2016-07-18}
@attribute PRG numeric
@attribute data_PRG {2012-02-23,2011-09-23,2011-06-20,2011-07-11,2011-07-22,2013-09-23,2013-01-16,2012-07-25,2012-09-20,0000-00-00,2012-06-21,2012-07-10,2013-07-31,2014-02-04,2013-07-18,2013-06-20,2015-09-03,2013-09-13,2014-07-08,2014-02-25,2014-06-17,2014-09-03,2014-09-02,2016-02-22,2015-01-08,2014-07-29,2015-02-23,2015-09-24,2014-07-28,2016-02-29,2015-07-28,2014-09-04}
@attribute ANI numeric
@attribute data_ANI {2013-07-18,2011-07-26,2012-02-22,2012-03-16,2011-09-09,2012-06-22,2011-06-10,2013-01-22,2012-01-17,2012-07-31,2012-01-20,2013-09-19,2013-01-23,2012-09-17,2014-02-28,2012-02-24,2014-02-27,2013-07-01,2013-07-16,2012-07-27,2014-06-30,2013-02-07,2012-09-21,2015-01-14,2014-08-01,2014-07-14,2012-07-06,2013-03-11,2013-07-30,2014-07-28,2014-07-23,2013-03-08,2013-06-27,2014-09-05,2013-02-21,2014-10-07,2014-07-22,2014-07-31,2014-09-16,2014-01-24,2015-06-30,2015-07-14,2014-09-12,2015-09-22,2015-07-24,2015-06-26,2015-07-07,2014-06-10,2017-01-23,2016-06-21,2014-09-09,2016-09-12,2015-08-03,2016-07-01,2016-06-20,2017-02-27,2016-01-27,2016-07-13,2015-01-13}
@attribute MDL numeric
@attribute data_MDL {2012-09-13,2012-07-12,2011-07-07,2011-07-27,2013-09-11,2013-07-03,2012-02-27,2011-07-25,2011-07-05,2011-09-19,2011-07-26,2013-09-10,2014-01-13,2013-02-06,2013-07-04,2013-07-30,2012-06-14,2014-06-11,2013-09-12,2015-02-06,2014-09-11,2014-01-14,2012-08-01,2013-07-31,2015-07-09,2014-02-05,2013-06-12,2014-09-10,2015-01-21,2015-09-09,2015-02-05,2014-02-04,2015-01-22,2016-01-27,2014-07-02,2014-07-30,2016-08-02,2016-07-11,2016-02-08,2017-01-26,2015-10-05,2014-07-29,2014-07-03,2014-09-09,2014-06-13,2015-07-01,2014-07-01,2016-06-15,2016-07-04,2015-10-08,2016-09-28,2015-09-15,2015-10-07,2016-06-13,2016-09-27}
@attribute ALG numeric
@attribute data_ALG {2012-01-17,2012-01-13,2012-09-20,2014-02-13,2012-07-06,2012-01-19,2012-02-22,2013-02-05,2012-02-24,2013-03-04,2013-02-25,2015-01-16,2014-10-28,2014-01-16,2014-09-23,2013-10-03,2013-09-05,2013-02-15,2015-02-16,2013-06-13,2014-09-25,2013-07-12,2014-05-05,2015-01-20,2014-03-27,2013-09-19,2014-10-07,2014-01-21,2014-05-20,2015-06-15,2015-02-17,2014-02-20,2014-05-22,2016-02-08,2014-07-14,2016-01-11,2014-02-11,2015-07-07,2016-07-13,2015-07-06,2015-09-07,2016-09-02,2017-01-19,2017-01-16}
@attribute ANII numeric
@attribute data_ANII {2012-02-22,2012-03-16,2012-06-22,2013-01-22,2012-01-17,2012-07-31,2013-01-23,2012-09-17,2014-02-28,2013-07-01,2013-07-16,2014-06-30,2015-01-14,2014-08-01,2014-07-14,2013-03-11,2013-07-30,2014-07-28,2013-03-08,2014-09-05,2014-07-23,2014-10-07,2014-07-22,2014-07-31,2014-09-16,2015-06-30,2015-07-14,2014-09-12,2015-09-22,2015-06-26,2015-07-07,2017-01-23,2016-06-21,2016-09-12,2015-08-03,2016-07-01,2016-06-20,2016-01-27}
@attribute MP numeric
@attribute data_MP {2013-02-14,2012-09-07,2012-07-24,2012-06-15,2013-01-11,2014-01-22,2012-07-09,2012-01-23,2012-02-10,2013-07-24,2014-07-02,2014-06-05,2015-01-20,2013-06-26,2013-09-11,2014-09-12,2014-02-19,2014-02-05,2015-02-16,2015-07-13,2014-07-16,2014-02-26,2016-01-21,2015-09-30,2015-06-08,2015-07-27,2015-09-01,2017-02-20,2016-02-18,2015-07-23,2016-06-08,2015-07-30,2015-07-22}
@attribute PC numeric
@attribute data_PC {2013-01-15,2012-01-31,2012-03-06,2013-01-16,2014-01-27,2014-02-24,2013-07-19,2012-01-27,2014-02-04,2012-09-22,2013-02-26,2013-02-19,2013-07-31,2013-10-01,2013-06-20,2013-02-28,2015-03-04,2014-09-10,2014-09-09,2014-10-21,2014-06-18,2015-02-05,2015-03-02,2014-07-15,2014-02-25,2014-03-12,2014-07-24,2015-06-29,2015-09-22,2016-02-04,2016-06-21,2017-02-02,2016-07-25,2015-07-27,2017-01-30,2015-10-06,2015-02-17,2017-02-20,2016-02-29,2017-02-22,2015-03-03,2016-02-09}
@attribute BDSI numeric
@attribute data_BDSI {2012-09-25,2013-02-26,2012-06-26,2013-09-20,2013-07-05,2013-06-26,2013-07-08,2012-07-16,2013-07-26,2013-09-19,2014-01-21,2014-01-30,2013-06-28,2014-09-26,2013-07-11,2014-06-25,2015-02-18,2014-07-11,2014-02-18,2014-07-24,2014-07-25,2015-02-13,2014-09-21,2015-06-16,2014-06-16,2014-09-11,2015-09-17,2014-09-17,2015-07-24,2015-06-26,2014-07-07,2015-06-25,2015-01-27,2015-09-10,2017-01-27,2015-07-22,2015-07-30,2016-01-22,2016-02-08,2016-02-09,2016-07-19,2015-06-18,2015-05-28,2015-07-16,2016-06-13,2016-09-16,2016-07-05}
@attribute CPS numeric
@attribute data_CPS {2013-09-12,2013-07-29,2013-06-10,2013-07-01,2012-09-13,2014-01-08,2014-07-14,2014-06-26,2014-02-05,2014-09-16,2014-06-04,2015-02-03,2015-07-27,2015-09-11,2017-01-13,2017-02-03,2016-06-10,2015-01-07,2016-01-08,2016-02-10,2016-09-07,2015-07-01,2016-07-08}
@attribute FIS numeric
@attribute data_FIS {2012-07-05,2013-02-26,2012-02-07,0000-00-00,2014-09-18,2013-09-16,2014-12-23,2015-02-19,2013-07-29,2014-07-03,2015-01-30,2015-09-21,2014-07-23,2016-02-22,2014-07-24,2016-01-29,2015-06-12,2016-07-22,2017-02-06,2017-03-29,2016-09-20,2016-06-23,2017-03-28,2017-03-23,2017-02-02,2017-03-22}
@attribute SO numeric
@attribute data_SO {2013-09-25,2012-09-25,2013-09-11,2013-01-07,2013-06-12,2012-10-05,2014-02-03,2013-02-27,2015-02-25,2014-01-30,2013-09-06,2014-07-17,2015-02-11,2015-01-26,2014-01-21,2013-09-12,2016-02-23,2016-01-29,2014-09-24,2014-09-17,2015-09-16,2016-02-25,2015-07-20,2014-06-20,2016-02-17,2015-06-30,2017-01-17,2016-09-23,2017-02-09,2015-05-26,2016-09-20,2016-07-19}
@attribute CAL numeric
@attribute data_CAL {2014-01-07,2013-06-10,2013-09-09,2013-07-22,2014-06-10,2014-06-04,2014-06-25,2015-03-18,2015-07-08,2015-06-09,2015-07-07,2015-06-08,2015-06-22,2015-09-07,0000-00-00,2016-06-06,2016-09-06,2016-09-09,2016-06-10,2016-06-29,2016-07-04,2016-09-26,2016-09-07}
@attribute IT numeric
@attribute data_IT {2014-01-20,2013-01-14,2014-02-25,2014-02-24,2013-02-13,2013-09-23,2014-02-06,2015-02-24,2014-07-30,2014-09-03,2016-02-24,2015-07-27,2015-09-11,2015-06-23,2016-01-19,2016-06-23,2016-09-07,2016-07-27,2017-01-19,2017-02-20,2015-11-20}
@attribute CS numeric
@attribute data_CS {2013-10-01,2013-09-18,2013-07-29,2013-06-13,2013-07-31,2013-06-18,2013-07-19,2014-06-18,2014-07-24,2015-03-02,2015-02-05,2014-09-09,2017-01-27,2016-06-29}
@attribute IUM numeric
@attribute data_IUM {2015-02-18,2015-06-22,2016-01-28,2016-02-25,2015-01-20,2015-01-14,2015-09-16,2015-02-26,2015-02-11,2016-02-09,2016-01-26,2016-01-13,2015-07-22,2015-01-22,2015-02-20,2017-02-24,2016-09-20,2016-07-11,2017-03-03,2017-01-27,2016-06-21,2017-02-03,2016-02-12}
@attribute RETI numeric
@attribute data_RETI {2014-02-10,2013-01-30,2014-02-27,2014-01-20,2013-06-18,2013-03-04,0000-00-00,2015-01-22,2014-03-06,2014-02-13,2014-07-17,2015-01-13,2015-02-16,2015-02-09,2016-02-15,2015-01-27,2016-02-04,2016-01-18,2015-09-18,2015-06-19,2016-02-29,2016-06-27,2017-03-01,2017-02-27,2016-01-26,2017-02-21,2017-01-24,2016-07-06,2017-02-28}

@data
2010,22,2011-06-15,24,2014-01-28,21,2012-02-23,19,2013-07-18,24,2012-09-13,26,2012-01-17,?,?,24,2013-02-14,25,2013-01-15,24,2012-09-25,22,2013-09-12,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,28,2011-07-06,26,2012-09-20,25,2011-09-23,29,2011-07-26,22,2012-07-12,25,2012-01-13,?,?,?,?,30,2013-01-15,26,2013-02-26,31,2013-07-29,?,?,26,2013-09-25,?,?,31,2014-01-20,26,2013-10-01,?,?,31,2014-02-10
2010,31,2011-06-15,30,2011-08-30,28,2011-06-20,28,2012-02-22,30,2011-07-07,31,2012-01-13,28,2012-02-22,31,2012-09-07,31,2012-01-31,31,2012-06-26,31,2013-06-10,31,2012-07-05,30,2012-09-25,26,2014-01-07,31,2013-01-14,25,2013-09-18,?,?,31,2013-01-30
2010,26,2011-06-15,24,2012-09-24,23,2011-06-20,30,2012-03-16,30,2011-07-27,31,2012-01-13,18,2012-03-16,25,2012-07-24,22,2012-03-06,27,2012-06-26,29,2013-07-01,?,?,?,?,?,?,30,2014-02-25,26,2013-07-29,?,?,?,?
2010,26,2011-06-15,30,2013-07-24,26,2011-07-11,23,2011-09-09,24,2013-09-11,?,?,?,?,26,2012-06-15,27,2013-01-16,30,2013-09-20,?,?,?,?,28,2013-09-25,?,?,31,2014-01-20,?,?,?,?,30,2014-02-27
2010,24,2011-06-15,25,2012-07-30,24,2011-07-11,24,2012-06-22,27,2013-07-03,18,2012-09-20,18,2012-06-22,29,2013-01-11,20,2014-01-27,25,2013-07-05,24,2013-09-12,?,?,25,2012-09-25,?,?,?,?,?,?,?,?,?,?
2010,30,2012-01-18,24,2012-07-17,31,2011-07-22,30,2011-06-10,20,2012-02-27,26,2014-02-13,?,?,21,2014-01-22,22,2014-02-24,29,2013-06-26,?,?,30,2013-02-26,26,2013-09-11,?,?,?,?,?,?,?,?,?,?
2010,18,2011-07-22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,21,2011-07-06,?,?,?,?,19,2011-09-09,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,27,2011-07-22,24,2012-02-19,24,2011-07-11,28,2013-01-22,20,2013-07-03,21,2012-07-06,18,2013-01-22,23,2012-07-09,19,2013-07-19,25,2013-07-08,18,2013-07-29,?,?,26,2013-01-07,?,?,22,2014-02-24,?,?,?,?,28,2014-01-20
2010,30,2011-07-06,29,2011-09-13,26,2011-06-20,31,2012-01-17,27,2011-07-25,31,2012-01-13,18,2012-01-17,28,2012-06-15,30,2012-01-27,31,2012-06-26,27,2012-09-13,30,2012-02-07,28,2013-06-12,30,2013-06-10,31,2013-02-13,30,2013-06-13,?,?,30,2013-06-18
2010,28,2011-06-15,28,2011-08-30,27,2011-07-11,28,2012-07-31,23,2011-07-05,24,2012-01-17,28,2012-07-31,23,2012-09-07,30,2012-03-06,29,2012-07-16,30,2013-07-01,?,?,27,2012-10-05,?,?,31,2014-01-20,19,2013-07-31,?,?,26,2013-03-04
2010,22,2011-07-22,?,?,27,2013-09-23,18,2012-01-20,?,?,22,2012-01-13,?,?,?,?,19,2014-02-04,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,28,2011-07-06,?,?,23,2012-02-23,23,2013-09-19,21,2011-09-19,?,?,?,?,30,2012-06-15,?,?,22,2012-06-26,?,?,?,0000-00-00,?,?,?,?,?,?,?,?,?,?,?,?
2010,30,2011-06-15,27,2011-08-30,28,2011-06-20,23,2013-01-22,20,2011-07-07,30,2012-01-19,18,2013-01-22,28,2012-06-15,27,2012-03-06,28,2012-06-26,30,2013-06-10,?,?,25,2012-09-25,?,?,25,2013-02-13,23,2013-06-18,?,?,27,2013-01-30
2010,25,2011-06-15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,25,2012-01-18,?,?,26,2013-01-16,24,2013-01-23,20,2011-07-26,18,2012-02-22,18,2013-01-23,?,?,21,2014-02-04,24,2013-07-26,26,2013-06-10,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,30,2011-06-15,28,2011-09-13,30,2011-06-20,30,2012-09-17,28,2011-07-05,30,2012-01-13,28,2012-09-17,30,2012-09-07,24,2012-03-06,30,2012-07-16,21,2012-09-13,?,?,27,2012-10-05,?,?,30,2013-09-23,22,2013-06-18,?,?,26,2013-03-04
2010,30,2011-07-06,25,2012-02-19,26,2011-09-23,30,2011-06-10,23,2011-07-26,26,2012-01-13,?,?,28,2012-01-23,27,2012-09-22,27,2012-06-26,29,2013-06-10,?,?,28,2012-09-25,27,2013-09-09,23,2014-02-06,23,2013-07-19,?,?,28,2013-01-30
2010,22,2011-09-21,?,?,?,?,?,?,?,?,21,2012-02-22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,28,2011-06-15,31,2012-02-19,31,2011-07-22,30,2014-02-28,27,2011-09-19,31,2012-09-20,27,2014-02-28,31,2013-01-11,28,2012-03-06,31,2013-09-19,31,2013-07-01,?,?,27,2012-09-25,21,2013-07-22,30,2014-01-20,22,2013-07-31,?,?,28,2013-01-30
2010,23,2011-07-06,26,2013-06-12,26,2011-06-20,24,2012-02-24,?,?,?,?,?,?,?,?,19,2013-02-26,?,?,?,?,?,?,21,2014-02-03,?,?,?,?,?,?,?,?,?,?
2010,25,2011-07-06,22,2012-09-20,25,2011-09-23,24,2014-02-27,?,?,19,2013-02-05,?,?,24,2012-02-10,30,2013-07-19,?,?,?,?,?,?,24,2013-02-27,?,?,?,?,?,?,?,?,?,?
2010,27,2011-06-15,?,?,27,2011-06-20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,18,2011-07-26,?,?,18,2012-07-25,25,2013-07-01,?,?,?,?,18,2013-07-01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,26,2011-07-26,?,?,25,2012-02-23,?,?,?,?,22,2012-02-24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,24,2011-09-21,?,?,?,?,20,2013-09-19,18,2013-09-10,18,2012-09-20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,25,2011-07-06,?,?,25,2012-09-20,?,?,?,?,21,2012-02-22,?,?,24,2013-07-24,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2010,?,?,?,?,?,0000-00-00,30,2011-07-26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0000-00-00
2011,23,2013-02-19,30,2013-07-08,24,2013-01-16,26,2013-07-16,28,2014-01-13,19,2013-03-04,18,2013-07-16,25,2014-07-02,25,2014-02-04,29,2014-01-21,28,2013-06-10,?,?,25,2014-02-03,28,2014-06-10,21,2015-02-24,23,2014-06-18,?,?,30,2015-01-22
2011,?,?,?,?,?,?,27,2012-07-27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2011,24,2014-02-17,?,?,22,2012-07-25,24,2013-07-16,26,2014-01-13,20,2013-02-25,18,2013-07-16,25,2014-06-05,25,2014-02-04,21,2014-01-30,19,2013-07-01,?,?,23,2015-02-25,?,?,?,?,18,2014-07-24,?,?,?,?
2011,23,2012-09-18,?,?,20,2012-09-20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2011,28,2012-07-11,25,2013-07-08,28,2012-09-20,28,2014-06-30,22,2012-09-13,24,2015-01-16,27,2014-06-30,26,2015-01-20,26,2014-02-04,?,?,21,2014-01-08,25,2014-09-18,?,?,?,?,?,?,?,?,?,?,?,?
2011,25,2012-09-21,?,?,?,?,26,2013-02-07,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2011,25,2012-09-21,20,2012-06-18,22,2012-09-20,26,2012-09-21,22,2012-07-12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2011,28,2012-07-31,25,2012-07-17,30,2012-06-21,30,2015-01-14,25,2013-02-06,26,2014-10-28,30,2015-01-14,24,2013-06-26,20,2014-02-04,28,2013-06-28,23,2013-06-10,?,?,25,2013-09-25,?,?,?,?,19,2015-03-02,?,?,28,2014-03-06
2011,23,2012-07-11,21,2013-02-18,22,2012-07-25,20,2014-08-01,20,2013-07-04,26,2014-01-16,18,2014-08-01,24,2014-01-22,27,2013-02-19,21,2014-09-26,21,2014-07-14,?,?,22,2013-09-25,?,?,?,?,?,?,?,?,27,2015-01-22
2011,25,2012-06-19,?,?,22,2012-07-10,24,2014-07-14,?,?,21,2014-09-23,18,2014-07-14,25,2013-09-11,26,2013-07-31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2011,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
